grade,subject,approvalNumber,title,type,author,publisher,barcode
ג,"תושב""ע",277,שירת הלבבות,ספר לימוד,פ. כהן,בית ספר שירת חנן,18177131
ג,"תנ""ך",2731,תורת חיים יהושע,חוברת,א. שושן,דני ספרים,441519
ג,אנגלית,933,"English For Us 3, Student's Book",ספר לימוד,R. Gerber,רונית גרבר,1119
ג,אנגלית,2961, (ספר היברידי יש לרכוש מודפס ודיגיטלי ביחד) My Way,ספר לימוד היברידי,צוות מטח,מטח,782161
ג,אנגלית,292,Epic Coursebook,ספר לימוד,Y. Bejarano and A. Harel,English Adventure,751168
ג,אנגלית,292,Epic Stories & more...,ספר לימוד,Y. Bejarano and A. Harel,English Adventure,751169
ג,אנגלית,2867,Jet 1,ספר לימוד,M. Melamud,אריק כהן,153957
ג,אנגלית,2251,"Let's Speak English, Foundation Level, Stage 1, Student's Book + Disc",ספר לימוד,R. Gerber,רונית גרבר,1113
ג,אנגלית,2742,"Letterquest, PreFoundation Level, Stage 2, Student's Book",ספר לימוד,K.C.Bruhim,מפעלים אוניברסיטאים UPP,74112
ג,אנגלית,2698,"My First English Adventure Revised Curriculum  Activity Book Units 456, PreFoundation Level, Stage 2",ספר לימוד,Y. Bejarano,English Adventure,751122
ג,אנגלית,2698,"My First English Adventure Revised Curriculum  Practice Pages Book 1 + Notebook,  PreFoundation Level, Stage 2",ספר לימוד,Y. Bejarano,English Adventure,751123
ג,אנגלית,24,"Tell Me In English (Revised Edition), Foundation Level, Stage 1, Student's Book",ספר לימוד,"C. Neuman, J. Nevo",מפעלים אוניברסיטאים UPP,7252
ג,עברית חינוך לשוני,9121,"בין השורות, חלק שלישי",ספר לימוד,ע.באך,בין השורות,11983
ג,עברית חינוך לשוני,9188,חשבתי כתבתי,ספר לימוד,"ש. ארליך, י. שור",אברמוביץ,13531
ג,עברית חינוך לשוני,9199,ילדותנו ג'  מקראה,ספר לימוד,"צ. גרוסמן, צ. דומב",ישורון,35219
ג,עברית חינוך לשוני,2581,קרא כצבי 3,ספר לימוד,מ. ברלין,את בש,8773
ג,עברית חינוך לשוני,2953,המקראה שלי ג חלק 1,ספר לימוד,ח. דוידזון,יסוד,51882128
ג,עברית חינוך לשוני,2953,המקראה שלי ג חלק 2,ספר לימוד,ח. דוידזון,יסוד,51882129
ג,עברית חינוך לשוני,2622,"העיקר שהבנו, עברית לכיתה ג, חלק ראשון",ספר לימוד,"א. טרפיקנט, ט. קפלן",יבנה | בונוס,119826
ג,עברית חינוך לשוני,2622,"העיקר שהבנו, עברית לכיתה ג, חלק שני",ספר לימוד,"א. טרפיקנט, ט. קפלן",יבנה | בונוס,119827
ג,עברית חינוך לשוני,2542,מילה טובה ג  חלק 1,ספר לימוד,צוות מטח,מטח,78152611
ג,עברית חינוך לשוני,2542,מילה טובה ג  חלק 2,ספר לימוד,צוות מטח,מטח,78152612
ג,עברית חינוך לשוני,2943,עולמות ג (ספר היברידי יש לרכוש מודפס ודיגיטלי ביחד),ספר לימוד היברידי,צוות מטח,מטח,78218
ג,עברית חינוך לשוני,261,"עונות וליהנות ג', חלק ראשון",ספר לימוד,"ב. רשף, מ. הניגטולדנו, ד. אמיר",יבנה | בונוס,119829
ג,עברית חינוך לשוני,261,"עונות וליהנות ג', חלק שני",ספר לימוד,"ב. רשף, מ. הניגטולדנו, ד. אמיר",יבנה | בונוס,11983
ג,עברית חינוך לשוני,275,"על קצה הלשון ומעולמה של ספרות ג, חלק א",ספר לימוד,"ד. קורחשגב, ל. טל, ע.אלון",יבנה | בונוס,2532369
ג,עברית חינוך לשוני,275,"על קצה הלשון ומעולמה של ספרות ג, חלק ב",ספר לימוד,"ד. קורחשגב, ל. טל, ע.אלון",יבנה | בונוס,2532383
ג,עברית חינוך לשוני,264,צועדים בדרך המילים  ג,ספר לימוד,"ב. גלרטליתמן, ח. שליטא",כנרת  זמורה,4211828
ג,עברית חינוך לשוני,2956,קשת  חוברת מוקלת ,ספר לימוד,צוות מטח,מטח,782182
ג,עברית חינוך לשוני,2973,"קשת  ממ""ד  חוברת מוקלת ",ספר לימוד,צוות מטח,מטח,78219
ג,עברית חינוך לשוני,2957,חוכמת הלמידה ג  חוברת מוקלת,ספר לימוד,ח. דוידזון,יסוד,51882134
ג,עברית חינוך לשוני,2972,העיקר שהבנו,ספר לימוד,צוות יבנה בונוס,יבנה | בונוס,119148
ג,עברית חינוך לשוני,267,"מילה טובה ג לחמ""ד חלק 1",ספר לימוד,צוות מטח,מטח,78152666
ג,עברית חינוך לשוני,267,"מילה טובה ג לחמ""ד חלק 2",ספר לימוד,צוות מטח,מטח,78152667
ג,עברית חינוך לשוני,2958,עברית בנועם  פרקים נבחרים מהמקראה  חוברת מוקלת,ספר לימוד,צוות יבנה בונוס,יבנה | בונוס,119151
ג,עברית חינוך לשוני,2828,"עברית בנעם ג, חלק ראשון",ספר לימוד,צוות מרחביה,יבנה | בונוס,11994
ג,עברית חינוך לשוני,2828,"עברית בנעם ג, חלק שני",ספר לימוד,צוות מרחביה,יבנה | בונוס,11995
ג,עברית חינוך לשוני,276,"על קצה הלשון ומעולמה של ספרות לחמ""ד ג, חלק א'",ספר לימוד,"ד. קורחשגב, ל. טל, ע.אלון",יבנה | בונוס,2532376
ג,עברית חינוך לשוני,276,"על קצה הלשון ומעולמה של ספרות לחמ""ד ג, חלק ב'",ספר לימוד,"ד. קורחשגב, ל. טל, ע.אלון",יבנה | בונוס,253239
ג,עברית חינוך לשוני,277,"צועדים בדרך המילים ג לחמ""ד",ספר לימוד,"ב. גלרטליתמן, ח. שליטא",כנרת  זמורה,421289
ג,עברית חינוך לשוני,2972,העיקר שהבנו  חוברת מוקלת ,ספר לימוד,צוות יבנה בונוס,יבנה | בונוס,119148
ג ,ספרדית,2797,Clan 7 A1.1,ספר לימוד,"Castro, Salas, Gálvez Y Ramírez",Edinumen,9788498485356
ג ,ספרדית,2796,Clan 7 A1.1 Cuaderno De Actividades,חוברת עבודה,"Castro, Salas, Gálvez Y Ramírez",Edinumen,978849848537
ד,חינוך מוזיקלי,2652,הכול בקול,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,41628
ד,חינוך מוזיקלי,2743,חגיגה בצלילים,ספר לימוד,ש. גולדשטיין,ארט הוצאה לאור,81727
ד,חינוך מוזיקלי,2745,חליליות לכיתות בית הספר  חלק א,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,81726
ד,חינוך מוזיקלי,2745,חליליות לכיתות בית הספר  חלק ב,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,818112
ד,חינוך מוזיקלי,2745,חליליות לכיתות בית הספר  חלק ג,חוברת לימוד,ש. גולדשטיין,ארט הוצאה לאור,818312
ד,חינוך מוזיקלי,2786,"מה נשמע? חלומות ליל קיץ, מנדלסון",חוברת לימוד,"אגף מוזיקה המכון לקידום ההוראה, אוניברסיטת בר אילן",יבנה | בונוס,416197
ד,חינוך מוזיקלי,2786,"מה נשמע? צלילים ואגדות, אדוארד גריג ",חוברת לימוד,"אגף מוזיקה המכון לקידום ההוראה, אוניברסיטת בר אילן",יבנה | בונוס,416212
ד,חינוך מוזיקלי,2786,"מה נשמע? קונצרט תמונות בתערוכה, מוסורגסקי",חוברת לימוד,"אגף מוזיקה המכון לקידום ההוראה, אוניברסיטת בר אילן",יבנה | בונוס,4161915
ד,חינוך מוזיקלי,2783,מסע לעולם כלי ההקשה,חוברת לימוד,ת. יריב,קהילה מנגנת,87712
ד,חינוך מוזיקלי,2824,"צליל וקשת, ויולה",חוברת לימוד,"ת. אורדו, ע. גור, ל. לבנון",קהילה מנגנת,146577121
ד,חינוך מוזיקלי,2824,"צליל וקשת, כינור",חוברת לימוד,"ת. אורדו, ע. גור, ל. לבנון",קהילה מנגנת,87715
ד,חינוך מוזיקלי,2824,"צליל וקשת, צ'לו",חוברת לימוד,"א. חן, ע. גור",קהילה מנגנת,87713
ד,חינוך מוזיקלי,2841,צלילים שלובים  בריטון,חוברת לימוד,"ע. גור, מ. דייוויס, ל. חביבצין",קהילה מנגנת,146577117
ד,חינוך מוזיקלי,2841,צלילים שלובים  חליל צד,חוברת לימוד,"ע. גור, ד. פדלון פארן, ר. רון ",קהילה מנגנת,146577111
ד,חינוך מוזיקלי,2841,צלילים שלובים  חצוצרה,חוברת לימוד,"ע. גור, ר. אורן, א. סטוקמייסטר",קהילה מנגנת,146577114
ד,חינוך מוזיקלי,2841,צלילים שלובים  טובה,חוברת לימוד,"ע. גור, מ. דייוויס, ל. חביבצין",קהילה מנגנת,146577118
ד,חינוך מוזיקלי,2841,צלילים שלובים  טרומבון,חוברת לימוד,"ע. גור, מ. דייוויס, ל. חביבצין",קהילה מנגנת,146577116
ד,חינוך מוזיקלי,2841,"צלילים שלובים  כלי הקשה, תפקידי תזמורת",חוברת לימוד,ע. גור,קהילה מנגנת,14657712
ד,חינוך מוזיקלי,2841,צלילים שלובים  ניצוח,חוברת לימוד,ע. גור,קהילה מנגנת,146577119
ד,חינוך מוזיקלי,2841,צלילים שלובים  סקסופון אלט,חוברת לימוד,"ע. גור, ג. לב",קהילה מנגנת,146577113
ד,חינוך מוזיקלי,2841,צלילים שלובים  קלרינט,חוברת לימוד,"ע. גור, ע. נוה, א. שוורץ",קהילה מנגנת,146577112
ד,חינוך מוזיקלי,2841,צלילים שלובים  קרן יער,חוברת לימוד,"ע. גור, א. רייסנר, א. ראובן",קהילה מנגנת,146577115
ד,חינוך מוזיקלי,2721,קסם החלילית,חוברת לימוד,ע. גור,קהילה מנגנת,87711
ד,תקשורת וקולנוע,837,סיפורי מסך,ספר לימוד,"צוות ת""ל",לוני כהן,18296
ד,זהירות ובטיחות בדרכים,87,בצעד זהיר ובטוח,ספר לימוד,א. עצמוני,למור,12355
ד,זהירות ובטיחות בדרכים,2478,מורה דרך,ספר לימוד,א. עצמוני,יבנה | בונוס,119774
ד,מולדת חברה ואזרחות,2651,דרך ארץ,ספר לימוד,ר. פרידמן,אברמוביץ,254211
ד,מולדת חברה ואזרחות,242,בישוב שלנו ובסביבתו,ספר לימוד,ז. מימוני,כנרת  זמורה,421352
ד,מולדת חברה ואזרחות,2747,ישראלים צעירים ד  אגם מתל אביב  יפו,ספר לימוד,"ש. גודמן, א. גל, א.שילוני",מטח,78238724
ד,מולדת חברה ואזרחות,2747,ישראלים צעירים ד  הלל מבית שמש,ספר לימוד,"ש. גודמן, א. גל, א.שילוני",מטח,78238727
ד,מולדת חברה ואזרחות,2747,ישראלים צעירים ד  יזן מטאמרה,ספר לימוד,"ש. גודמן, א. גל, א.שילוני",מטח,78238721
ד,מולדת חברה ואזרחות,2747,ישראלים צעירים ד  יפתח מעין יהב,ספר לימוד,"ש. גודמן, א. גל, א.שילוני",מטח,78238728
ד,מולדת חברה ואזרחות,2747,ישראלים צעירים ד  מאי מירוחם,ספר לימוד,"ש. גודמן, א. גל, א.שילוני",מטח,78238725
ד,מולדת חברה ואזרחות,2747,ישראלים צעירים ד  נעמה מדגניה,ספר לימוד,"ש. גודמן, א. גל, א.שילוני",מטח,78238722
ד,מולדת חברה ואזרחות,2747,ישראלים צעירים ד  עילאי מראשון לציון,ספר לימוד,"ש. גודמן, א. גל, א.שילוני",מטח,78238723
ד,מולדת חברה ואזרחות,2747,ישראלים צעירים ד  שלומית מנווה דניאל,ספר לימוד,"ש. גודמן, א. גל, א.שילוני",מטח,78238726
ד,מולדת חברה ואזרחות,2492,סיפור מולדת,ספר לימוד,צוות יסוד ,יסוד ,5188294
ד,מדעי המחשב,2935,קוד פלוס 1,ספר לימוד,צוות מטח,מטח,7827165
ד,מדע וטכנולוגיה,3955,"במבט חדש, מעשה בראשית, ד'",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,24542
ד,מדע וטכנולוגיה,2675,מסע בעולם מופלא,ספר לימוד,פ. קצנלבוגן,ספרי גאולה,69921
ד,מדע וטכנולוגיה,265,"במבט חדש, מדע וטכנולוגיה לכיתה ד  מהדורה מחודשת",ספר לימוד,"המרכז לחינוך מדעי וטכנולוגי אוניברסיטת ת""א",רמות,2442
ד,מדע וטכנולוגיה,238,"מדע בעידן טכנולוגי, חלק רביעי",ספר לימוד,"מ. ברק, ה. כץשדה חן",רכס,159924
ד,מדע וטכנולוגיה,2342,מסע מדע ד' – מסע בצוללת אל האי המסתורי,ספר לימוד,ש. קלצ'קו,כנרת  זמורה,4211217
ד,מדע וטכנולוגיה,2949,פלא טבע ד (ספר היברידי יש לרכוש מודפס ודיגיטלי ביחד),ספר לימוד היברידי,צוות מטח,מטח,782415
ד,מדעי החקלאות,951,אני חוקר בגן ובחצר,ספר לימוד,"צוות ת""ל",לוני כהן,1821134
ד,מדעי החקלאות,9536,"הגינה שלנו, מהדורה חדשה",ספר לימוד,"צוות ת""ל",לוני כהן,182721
ד,מדעי החקלאות,9632,פרחי קטיף,ספר לימוד,"צוות ת""ל",לוני כהן,182154
ד,מדעי החקלאות,9639,צמחי תבלין,ספר לימוד,"צוות ת""ל",לוני כהן,18277
ד,מתמטיקה,291,יש פתרון לכיתה ד'  גאומטריה,ספר לימוד,א.פרץ,אושרה פרץ,1548943
ד,מתמטיקה,291,יש פתרון לכיתה ד'  חלק ראשון,ספר לימוד,א.פרץ,אושרה פרץ,1548941
ד,מתמטיקה,291,יש פתרון לכיתה ד'  חלק שני,ספר לימוד,א.פרץ,אושרה פרץ,1548942
ד,מתמטיקה,2851,מסלולים פלוס ד' חלק 1,ספר לימוד,צוות מטח,מטח,782764
ד,מתמטיקה,2851,מסלולים פלוס ד' חלק 11 ,ספר לימוד,צוות מטח,מטח,7827641
ד,מתמטיקה,2851,מסלולים פלוס ד' חלק 12,ספר לימוד,צוות מטח,מטח,7827642
ד,מתמטיקה,2851,"מסלולים פלוס ד', גאומטריה",ספר לימוד,צוות מטח,מטח,7827643
ד,מתמטיקה,2851,"מסלולים פלוס ד', מקלות שברים",ערכת אביזרים,צוות מטח,מטח,78277414
ד,מתמטיקה,2851,"מסלולים פלוס ד', ערכת אביזרים  פרקי גאומטריה",ערכת אביזרים,צוות מטח,מטח,7827644
ד,מתמטיקה,2571,"נחשוב חשבון ד', חלק 8",ספר לימוד,"חינוך מתמטי בע""מ","אבסול בע""מ",119499
ד,מתמטיקה,2571,"נחשוב חשבון ד', חלק 9",ספר לימוד,"חינוך מתמטי בע""מ","אבסול בע""מ",1195
ד,מתמטיקה,2474,אוגדן פעילויות לתלמידים מתקדמים  חלק ד',ספר לימוד,מכון ויצמן,תרבות לעם,2791228
ד,מתמטיקה,2576,"המלצ""ה  העשרה מתמטית לתלמידים צעירים המצטיינים במתמטיקה  דמיון ושיקוף, קריטריונים",ספר לימוד,"צוות מל""מ חיפה",לוני כהן,186312371
ד,מתמטיקה,2576,"המלצ""ה  העשרה מתמטית לתלמידים צעירים המצטיינים במתמטיקה  כל האפשרויות, קוביות",ספר לימוד,"צוות מל""מ חיפה",לוני כהן,186312388
ד,מתמטיקה,2576,"המלצ""ה  העשרה מתמטית לתלמידים צעירים המצטיינים במתמטיקה  פריסות וחתכים, החלטות נבונות",ספר לימוד,"צוות מל""מ חיפה",לוני כהן,186312395
ד,מתמטיקה,2576,"המלצ""ה  העשרה מתמטית לתלמידים צעירים המצטיינים במתמטיקה  קומבינטוריקה ללא נוסחאות, גזירות והרכבות",ספר לימוד,"צוות מל""מ חיפה",לוני כהן,18631241
ד,מתמטיקה,2576,"המלצ""ה  העשרה מתמטית לתלמידים צעירים המצטיינים במתמטיקה  תכנון, לוגיסטיקה וסדר",ספר לימוד,"צוות מל""מ חיפה",לוני כהן,186312341
ד,מתמטיקה,2924,השבחה לכיתה ד' מהדורה מחודשת  גאומטריה,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416278
ד,מתמטיקה,2924,השבחה לכיתה ד' מהדורה מחודשת  כפל וחילוק,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416277
ד,מתמטיקה,2924,השבחה לכיתה ד' מהדורה מחודשת  ערכת אביזרים,ערכת אביזרים,המכון לקידום האינטגרציה,יבנה | בונוס,416279
ד,מתמטיקה,2924,השבחה לכיתה ד' מהדורה מחודשת  שברים פשוטים,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416276
ד,מתמטיקה,2924,השבחה לכיתה ד'  מהדורה מחודשת  מספרים בתחום המיליון,ספר לימוד,המכון לקידום האינטגרציה,יבנה | בונוס,416275
ד,מתמטיקה,2423,"חשבון 1, אביזרים ",ערכת אביזרים, ד. לוזון,למדא,199481
ד,מתמטיקה,2233,"חשבון 1, חלק א'",ספר לימוד,ד. לוזון,למדא,199554
ד,מתמטיקה,2151,"חשבון 1, חלק ב', כולל נספחים",ספר לימוד,ד. לוזון,למדא,199566
ד,מתמטיקה,2151,"חשבון 1, חלק ג'",ספר לימוד,ד. לוזון,למדא,199556
ד,מתמטיקה,2248,"כשרים והקשרים במתמטיקה, לוח מסמרים וקודקודים",ערכת אביזרים,"חינוך מתמטי בע""מ","חינוך מתמטי בע""מ",119463
